date,modal_price,arrivals_mt,price_lag_1,price_lag_3,price_lag_7,price_lag_14,price_lag_30,price_lag_60,rolling_mean_7,rolling_mean_14,rolling_std_7,weekly_arrival_change,day_of_week,month,quarter
2026-01-06,2370.2575147928997,77.55081360946745,2339.376398809524,2440.8777436823107,2341.0965824665677,2339.0422537313434,2210.028846153846,1966.8994701986753,2395.5916593622737,2418.653255431764,76.93985387579407,-0.11248692224809154,1,1,1
2026-01-07,2368.9196825396825,92.99346320346321,2370.2575147928997,2552.439429928741,2364.3087440381555,2385.014167962675,1943.2142857142858,2144.841361111111,2396.2503648624916,2417.503649330122,76.64657308328495,-0.035148798886733834,2,1,1
2026-01-08,2368.8594436310395,79.08121522693997,2368.9196825396825,2339.376398809524,2357.955765765766,2411.8197674418607,1990.5030769230768,2196.2585227272725,2397.8080331289593,2414.435054772206,75.84522059804671,-0.06324658920739767,3,1,1
2026-01-09,2335.2938170347,84.30880126182966,2368.8594436310395,2370.2575147928997,2343.9260185185185,2352.5038244514108,2049.493465648855,1996.4170250896057,2396.5748614884137,2413.205768528155,76.92972513354081,-0.01896252470383475,4,1,1
2026-01-10,2557.7498723404256,80.14757446808511,2335.2938170347,2368.9196825396825,2440.8777436823107,2561.383697813121,2012.9895468277946,1987.56600660066,2413.2708798681447,2412.94620956582,97.95614256648958,-0.04006808641641657,5,1,1
2026-01-11,2595.6833012048196,42.97474698795181,2557.7498723404256,2368.8594436310395,2552.439429928741,2664.1388888888887,2089.290409448819,1988.9162074554297,2419.448575764727,2408.0565247312434,108.94317620120745,0.004644887694833955,6,1,1
2026-01-12,2309.7306501547987,84.25202786377709,2595.6833012048196,2335.2938170347,2339.376398809524,2376.0470314842582,2265.5627368421056,2009.9066613418531,2415.2134688140527,2403.3196403505676,113.07269830103316,-0.22003887141919298,0,1,1
2026-01-13,2295.637636080871,80.32718506998444,2309.7306501547987,2557.7498723404256,2370.2575147928997,2341.0965824665677,2405.0272952853597,2003.2195230263158,2404.5534861409055,2400.072572751589,121.23978030071783,0.035800674825905876,1,1,1
2026-01-14,2466.0090579710145,45.36643115942029,2295.637636080871,2595.6833012048196,2368.9196825396825,2364.3087440381555,2262.4369855072464,2097.574667931689,2418.42339691681,2407.336880889651,122.0347657702184,-0.5121546225226423,2,1,1
2026-01-15,2425.00661682243,29.48807476635514,2466.0090579710145,2309.7306501547987,2368.8594436310395,2357.955765765766,2309.2571168437025,2224.4194373401533,2426.444421658437,2412.126227393698,120.06338589346855,-0.6271165702027595,3,1,1
